Centre,Left,Right,Steering,Brake,Throttle,Speed
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_49_013.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_49_013.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_49_013.jpg, 0, 0, 0, 7.771242E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_49_114.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_49_114.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_49_114.jpg, 0, 0, 0, 8.126105E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_49_218.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_49_218.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_49_218.jpg, 0, 0.1837416, 0, 0.08361853
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_49_323.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_49_323.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_49_323.jpg, 0, 0.4872363, 0, 0.515547
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_49_423.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_49_423.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_49_423.jpg, 0, 0.7893816, 0, 1.295103
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_49_525.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_49_525.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_49_525.jpg, 0, 1, 0, 2.696172
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_50_593.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_50_593.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_50_593.jpg, 0, 1, 0, 6.421452
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_50_694.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_50_694.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_50_694.jpg, 0, 1, 0, 7.563726
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_50_799.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_50_799.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_50_799.jpg, 0, 1, 0, 8.919833
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_50_903.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_50_903.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_50_903.jpg, 0, 1, 0, 10.03778
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_008.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_008.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_008.jpg, 0, 1, 0, 11.14473
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_110.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_110.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_110.jpg, -0.2852235, 1, 0, 11.99651
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_219.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_219.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_219.jpg, -0.3526104, 1, 0, 13.41174
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_321.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_321.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_321.jpg, -0.04674811, 1, 0, 14.50607
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_422.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_422.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_422.jpg, 0, 1, 0, 15.60846
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_525.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_525.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_525.jpg, 0, 1, 0, 16.53571
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_630.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_630.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_630.jpg, 0, 1, 0, 17.73906
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_733.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_733.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_733.jpg, 0, 1, 0, 18.6087
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_839.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_839.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_839.jpg, -0.3577392, 1, 0, 19.79189
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_51_940.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_51_940.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_51_940.jpg, -0.4597995, 1, 0, 20.76041
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_048.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_048.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_048.jpg, -0.1629517, 1, 0, 21.69817
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_150.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_150.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_150.jpg, 0, 1, 0, 22.7117
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_249.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_249.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_249.jpg, 0, 1, 0, 23.66693
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_354.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_354.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_354.jpg, 0, 1, 0, 24.64049
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_456.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_456.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_456.jpg, 0, 1, 0, 25.59686
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_557.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_557.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_557.jpg, -0.2542158, 1, 0, 26.51752
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_662.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_662.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_662.jpg, -0.6184731, 1, 0, 27.4058
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_766.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_766.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_766.jpg, -0.3204896, 1, 0, 28.27159
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_867.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_867.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_867.jpg, -0.03217344, 1, 0, 29.20154
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_52_968.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_52_968.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_52_968.jpg, -0.1715754, 1, 0, 30.10777
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_53_069.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_53_069.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_53_069.jpg, -0.4722939, 1, 0, 30.15473
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_53_173.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_53_173.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_53_173.jpg, -0.1729872, 1, 0, 30.19387
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_53_278.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_53_278.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_53_278.jpg, 0, 1, 0, 30.18904
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_53_383.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_53_383.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_53_383.jpg, 0, 1, 0, 30.19037
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_53_491.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_53_491.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_53_491.jpg, 0, 1, 0, 30.19051
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_53_593.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_53_593.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_53_593.jpg, 0, 1, 0, 30.19052
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_53_702.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_53_702.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_53_702.jpg, 0, 1, 0, 30.19048
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_53_803.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_53_803.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_53_803.jpg, -0.0276891, 1, 0, 30.18989
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_53_908.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_53_908.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_53_908.jpg, -0.3138978, 1, 0, 30.16978
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_013.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_013.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_013.jpg, -0.4450164, 1, 0, 30.16315
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_121.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_121.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_121.jpg, -0.0982905, 1, 0, 30.19172
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_225.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_225.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_225.jpg, 0, 1, 0, 30.18948
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_327.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_327.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_327.jpg, 0, 1, 0, 30.19053
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_438.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_438.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_438.jpg, 0, 1, 0, 30.19068
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_543.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_543.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_543.jpg, 0, 1, 0, 30.1902
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_644.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_644.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_644.jpg, 0, 1, 0, 30.1904
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_752.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_752.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_752.jpg, -0.1508892, 1, 0, 30.18378
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_863.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_863.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_863.jpg, -0.5113578, 1, 0, 30.14331
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_54_962.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_54_962.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_54_962.jpg, -0.2111997, 1, 0, 30.19372
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_55_069.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_55_069.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_55_069.jpg, 0, 1, 0, 30.18728
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_55_170.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_55_170.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_55_170.jpg, 0, 1, 0, 30.18957
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_55_273.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_55_273.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_55_273.jpg, 0, 1, 0, 30.19018
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_55_375.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_55_375.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_55_375.jpg, 0, 1, 0, 30.19052
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_55_480.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_55_480.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_55_480.jpg, 0, 1, 0, 30.19032
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_55_586.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_55_586.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_55_586.jpg, 0, 1, 0, 30.19038
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_55_693.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_55_693.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_55_693.jpg, 0, 1, 0, 30.19029
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_55_798.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_55_798.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_55_798.jpg, 0, 1, 0, 30.19028
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_55_902.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_55_902.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_55_902.jpg, 0, 1, 0, 30.19028
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_003.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_003.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_003.jpg, 0, 1, 0, 30.19031
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_106.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_106.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_106.jpg, 0, 1, 0, 30.19034
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_208.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_208.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_208.jpg, 0, 1, 0, 30.1904
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_315.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_315.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_315.jpg, 0, 1, 0, 30.19032
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_419.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_419.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_419.jpg, 0, 1, 0, 30.1899
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_527.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_527.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_527.jpg, 0, 1, 0, 30.19033
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_629.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_629.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_629.jpg, -0.1210593, 1, 0, 30.18619
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_739.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_739.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_739.jpg, -0.4239066, 1, 0, 30.1558
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_842.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_842.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_842.jpg, -0.1140486, 1, 0, 30.19196
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_56_947.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_56_947.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_56_947.jpg, 0, 1, 0, 30.1893
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_051.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_051.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_051.jpg, 0, 1, 0, 30.19013
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_156.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_156.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_156.jpg, 0, 1, 0, 30.18985
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_261.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_261.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_261.jpg, 0, 1, 0, 30.19031
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_362.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_362.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_362.jpg, 0, 1, 0, 30.19019
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_464.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_464.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_464.jpg, -0.0704721, 1, 0, 30.1891
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_565.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_565.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_565.jpg, -0.3892775, 1, 0, 30.15632
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_666.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_666.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_666.jpg, -0.08696036, 1, 0, 30.19087
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_772.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_772.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_772.jpg, 0, 1, 0, 30.18987
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_881.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_881.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_881.jpg, 0, 1, 0, 30.19026
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_57_987.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_57_987.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_57_987.jpg, 0, 1, 0, 30.19029
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_58_090.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_58_090.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_58_090.jpg, 0, 1, 0, 30.19046
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_58_192.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_58_192.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_58_192.jpg, 0, 1, 0, 30.19029
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_58_298.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_58_298.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_58_298.jpg, 0, 1, 0, 30.19027
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_58_398.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_58_398.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_58_398.jpg, -0.2192565, 1, 0, 30.17721
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_58_502.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_58_502.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_58_502.jpg, -0.5295761, 1, 0, 30.1383
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_58_602.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_58_602.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_58_602.jpg, -0.2268662, 1, 0, 30.19209
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_58_712.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_58_712.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_58_712.jpg, 0, 1, 0, 30.18657
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_58_820.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_58_820.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_58_820.jpg, 0, 1, 0, 30.19008
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_58_928.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_58_928.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_58_928.jpg, 0, 1, 0, 30.1903
